,Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
380,1/13/2021,GME,4:00 PM,31.3135,32.3299,30.7,31.44,5665019,1/13/2021:4:00 PM
381,1/14/2021,GME,10:30 AM,38.09,38.55,33.05,34.305,19640662,1/14/2021:10:30 AM
382,1/14/2021,GME,11:30 AM,34.305,36.49,33.56,35.26,9033965,1/14/2021:11:30 AM
383,1/14/2021,GME,12:30 PM,35.26,43.06,35.19,41.02,17671109,1/14/2021:12:30 PM
384,1/14/2021,GME,1:30 PM,41.0719,42.0,37.6901,40.25,14301582,1/14/2021:1:30 PM
385,1/14/2021,GME,2:30 PM,40.23,41.5,38.21,38.48,7954802,1/14/2021:2:30 PM
386,1/14/2021,GME,3:30 PM,38.4624,40.41,37.6,38.0191,7518203,1/14/2021:3:30 PM
387,1/14/2021,GME,4:00 PM,38.02,40.03,37.85,39.9184,5298134,1/14/2021:4:00 PM
388,1/15/2021,GME,10:30 AM,38.49,40.75,35.17,36.15,12739725,1/15/2021:10:30 AM
389,1/15/2021,GME,11:30 AM,36.14,38.38,35.84,36.53,5199055,1/15/2021:11:30 AM
390,1/15/2021,GME,12:30 PM,36.52,37.01,34.01,35.0814,6374601,1/15/2021:12:30 PM
391,1/15/2021,GME,1:30 PM,35.14,36.67,35.1001,35.602,3199034,1/15/2021:1:30 PM
392,1/15/2021,GME,2:30 PM,35.6199,36.72,35.3826,36.7,2466486,1/15/2021:2:30 PM
393,1/15/2021,GME,3:30 PM,36.6939,38.49,36.4,36.711,7156861,1/15/2021:3:30 PM
394,1/15/2021,GME,4:00 PM,36.72,36.77,35.33,35.49,2874740,1/15/2021:4:00 PM
395,1/19/2021,GME,10:30 AM,41.55,45.52,36.64,37.61,29722462,1/19/2021:10:30 AM
396,1/19/2021,GME,11:30 AM,37.6537,39.48,36.75,38.4801,10205971,1/19/2021:11:30 AM
397,1/19/2021,GME,12:30 PM,38.4874,41.67,38.0,40.985,8510141,1/19/2021:12:30 PM
398,1/19/2021,GME,1:30 PM,40.9752,42.3,40.29,40.97,6927161,1/19/2021:1:30 PM
399,1/19/2021,GME,2:30 PM,40.97,41.34,39.66,39.89,3404532,1/19/2021:2:30 PM
400,1/19/2021,GME,3:30 PM,39.9,40.68,39.6,39.88,3019318,1/19/2021:3:30 PM
401,1/19/2021,GME,4:00 PM,39.86,39.99,38.61,39.51,3391188,1/19/2021:4:00 PM
402,1/20/2021,GME,10:30 AM,37.37,39.3933,36.63,36.71,6321027,1/20/2021:10:30 AM
403,1/20/2021,GME,11:30 AM,36.693,38.95,36.06,38.7793,7233552,1/20/2021:11:30 AM
404,1/20/2021,GME,12:30 PM,38.76,41.1899,38.3,38.6268,7573278,1/20/2021:12:30 PM
405,1/20/2021,GME,1:30 PM,38.6,38.8,37.85,38.5768,2354585,1/20/2021:1:30 PM
406,1/20/2021,GME,2:30 PM,38.5367,39.75,38.5,39.13,2427089,1/20/2021:2:30 PM
407,1/20/2021,GME,3:30 PM,39.1357,40.14,38.83,39.0401,2299896,1/20/2021:3:30 PM
408,1/20/2021,GME,4:00 PM,39.055,39.38,38.71,39.12,1273830,1/20/2021:4:00 PM
409,1/21/2021,GME,10:30 AM,39.23,39.79,37.52,38.8,4078064,1/21/2021:10:30 AM
410,1/21/2021,GME,11:30 AM,38.8038,40.95,38.8,40.3,5525844,1/21/2021:11:30 AM
411,1/21/2021,GME,12:30 PM,40.2259,44.75,37.0,38.98,17988143,1/21/2021:12:30 PM
412,1/21/2021,GME,1:30 PM,39.0711,41.9,38.8,41.4118,7421343,1/21/2021:1:30 PM
